,Unnamed: 0,Path,Tour.Length,Fold,EAX.PAR10,EAX.PQR10,EAX.LOG.PAR10,EAX.LOG.PQR10,LKH.PAR10,LKH.PQR10,LKH.LOG.PAR10,LKH.LOG.PQR10,mst_dists_mean,mst_dists_median,mst_dists_varcoeff,mst_dists_sum
45,46,eax---lkh---sophisticated/1000-14.tsp,20.3451,10,3.2199,3.2395,1.1694,1.1754,2.4032,2.0135,0.8768,0.6999,0.17910013468860597,0.16800315342404898,0.634704587218617,0.343530715954965
46,47,eax---lkh---sophisticated/1000-140.tsp,19.3326,10,3.4052,3.3675,1.2253,1.2142,1271.8332,1190.317,7.1482,7.082,0.17315545037278698,0.14798958157546702,0.781554926063793,0.35030586263277
47,48,eax---lkh---sophisticated/1000-141.tsp,19.9985,8,2.9708,3.0595,1.0888,1.1183,32405.4376,36000.0,10.3861,10.4913,0.17698504296127598,0.143911453923052,0.735259820997058,0.342641396248412
48,49,eax---lkh---sophisticated/1000-142.tsp,20.0443,8,4.7706,3.4985,1.5625,1.2523,25484.7898,36000.0,10.1458,10.4913,0.17501842784886298,0.15641258456532098,0.695194700094272,0.336233552144857
49,50,eax---lkh---sophisticated/1000-143.tsp,22.425,1,3.6832,3.7265,1.3038,1.3155,147.2138,149.2305,4.9919,5.0055,0.20017837829141902,0.190705696596576,0.530903921569909,0.38530059409275397
50,51,eax---lkh---sophisticated/1000-144.tsp,20.7351,8,3.3309,3.345,1.2032,1.2075,15490.0548,2579.2895,9.648,7.8553,0.183129725612006,0.171481905640373,0.640414798494782,0.36072122018577
51,52,eax---lkh---sophisticated/1000-145.tsp,19.9665,9,4.826,3.3865,1.574,1.2198,25839.3306,36000.0,10.1597,10.4913,0.17616799929719598,0.16401060877489898,0.657800478830372,0.35412091523794803
52,53,eax---lkh---sophisticated/1000-146.tsp,20.1921,5,3.9719,3.2875,1.3792,1.1901,954.8613,856.252,6.8616,6.7526,0.17838057443691901,0.161999157724943,0.668225584880267,0.347283953100071
53,54,eax---lkh---sophisticated/1000-147.tsp,20.2576,2,5.0149,3.3125,1.6124,1.1977,364.0315,360.022,5.8972,5.8862,0.17873435870925403,0.165430856097913,0.613217581259715,0.341064186364726
54,55,eax---lkh---sophisticated/1000-148.tsp,22.245,5,4.3852,3.432,1.4782,1.2331,445.6972,342.833,6.0996,5.8372,0.19991007821338802,0.197088431678492,0.529161533160555,0.382192869146579
55,56,eax---lkh---sophisticated/1000-149.tsp,20.6503,8,3.6283,3.1455,1.2888,1.146,582.6395,372.006,6.3676,5.9189,0.18350688894776299,0.165165796931385,0.660295661928243,0.34663457847068596
56,57,eax---lkh---sophisticated/1000-15.tsp,18.5202,6,2.6359,2.652,0.9692,0.9753,29216.5743,36000.0,10.2825,10.4913,0.161954514599027,0.135009914001823,0.803974586311805,0.309997100105824
57,58,eax---lkh---sophisticated/1000-150.tsp,20.627,7,3.3519,3.088,1.2095,1.1275,108.8427,73.0485,4.6899,4.2911,0.18123681647615497,0.171216781051576,0.639615824532113,0.356078768232217
58,59,eax---lkh---sophisticated/1000-151.tsp,22.7831,2,3.4803,3.5145,1.2471,1.2569,36000.0,36000.0,10.4913,10.4913,0.206182733973361,0.201192843781659,0.540203741001528,0.38863949389281105
59,60,eax---lkh---sophisticated/1000-152.tsp,19.4576,6,3.3161,3.3285,1.1988,1.2025,18404.2814,36000.0,9.8203,10.4913,0.17116744990479102,0.151462658780704,0.70636691343166,0.34952610856309896
60,61,eax---lkh---sophisticated/1000-153.tsp,21.0767,1,3.2332,3.2675,1.1735,1.184,21.05,17.0435,3.0469,2.8358,0.187121916396984,0.171580195722984,0.622611479609343,0.34591135211616103
61,62,eax---lkh---sophisticated/1000-154.tsp,21.1553,6,4.3316,3.45,1.4659,1.2384,20.0749,8.7825,2.9995,2.1728,0.18695667432944302,0.17165580744707198,0.607545985056888,0.365229001979096
62,63,eax---lkh---sophisticated/1000-155.tsp,18.9617,1,3.5787,3.225,1.275,1.1709,22092.3188,36000.0,10.003,10.4913,0.166985674378183,0.137507582056631,0.865994152219233,0.315598390884398
63,64,eax---lkh---sophisticated/1000-156.tsp,18.767,3,2.818,2.8665,1.036,1.0531,274.042,184.5285,5.6133,5.2178,0.165384335689293,0.138973135153525,0.767332692519109,0.327107307581137
64,65,eax---lkh---sophisticated/1000-157.tsp,20.1008,6,5.4242,3.6115,1.6909,1.2841,32.5218,24.7775,3.4819,3.2099,0.177597069502184,0.16222168399851,0.711301099126723,0.365784795713983
65,66,eax---lkh---sophisticated/1000-158.tsp,20.2321,4,4.5559,3.5265,1.5164,1.2603,64.4837,49.9335,4.1664,3.9107,0.18027906155190201,0.171672534426011,0.534085096321931,0.344132346113233
66,67,eax---lkh---sophisticated/1000-159.tsp,20.7319,5,3.3459,3.3335,1.2077,1.204,32748.0419,36000.0,10.3966,10.4913,0.184344485880978,0.15961348425363597,0.687731478419292,0.34470320564168705
67,68,eax---lkh---sophisticated/1000-16.tsp,17.238,3,2.7247,2.668,1.0024,0.9813,774.5078,575.728,6.6522,6.3556,0.148695506554844,0.110378808868119,0.940929505190246,0.295797135684873
68,69,eax---lkh---sophisticated/1000-160.tsp,19.9836,6,4.2486,3.099,1.4466,1.1311,4706.3287,1267.5245,8.4567,7.1448,0.17714311429950802,0.160406770476965,0.60266123511003,0.32807888213258496
69,70,eax---lkh---sophisticated/1000-161.tsp,21.6656,4,4.1648,3.676,1.4267,1.3018,424.9304,362.155,6.0519,5.8921,0.19318915049888402,0.177810239881513,0.590661481850672,0.374669672355483
70,71,eax---lkh---sophisticated/1000-162.tsp,20.8784,8,4.3355,3.3415,1.4668,1.2064,25529.8376,36000.0,10.1476,10.4913,0.185949144471317,0.171854543464076,0.603683136696211,0.355564103005404
71,72,eax---lkh---sophisticated/1000-163.tsp,19.7592,5,3.1516,3.168,1.1479,1.1531,191.4506,195.2455,5.2546,5.2743,0.174785436647728,0.16515400393356,0.630614002675213,0.321920725669059
72,73,eax---lkh---sophisticated/1000-164.tsp,17.6739,4,4.3505,3.091,1.4703,1.1285,25709.8579,36000.0,10.1546,10.4913,0.152348884514927,0.12061311885200401,0.881077366523166,0.301995689651143
73,74,eax---lkh---sophisticated/1000-165.tsp,20.6984,3,3.2828,3.32,1.1887,1.2,17.7817,15.139,2.8782,2.7173,0.185355645010471,0.172648402814169,0.668808762886984,0.388617041651336
74,75,eax---lkh---sophisticated/1000-166.tsp,21.8676,7,4.6052,3.508,1.5272,1.255,439.6342,488.239,6.0859,6.1908,0.195335201623079,0.1834597258192,0.577829388932759,0.37095483678332697
75,76,eax---lkh---sophisticated/1000-167.tsp,22.1991,8,3.8674,3.346,1.3526,1.2078,5381.3866,2281.4475,8.5907,7.7326,0.199500298776425,0.198923139428272,0.547079453349085,0.367981213305635
76,77,eax---lkh---sophisticated/1000-168.tsp,21.6214,9,3.3167,3.31,1.199,1.1969,365.7734,280.406,5.902,5.6362,0.192801876102036,0.183704022591944,0.585382921078653,0.377229730783462
77,78,eax---lkh---sophisticated/1000-169.tsp,18.1901,4,3.0103,3.033,1.102,1.1096,774.0971,393.9205,6.6517,5.9761,0.16034573817762898,0.13985781778611,0.800757814547876,0.29674727371114
78,79,eax---lkh---sophisticated/1000-17.tsp,20.7631,9,3.4315,3.4685,1.233,1.2437,139.4201,125.651,4.9375,4.8335,0.18413206079683603,0.16896076173364,0.661997326455699,0.38132363342353703
79,80,eax---lkh---sophisticated/1000-170.tsp,21.189,2,3.3664,3.3,1.2138,1.1939,22347.8444,36000.0,10.0145,10.4913,0.189858369212387,0.172480787546591,0.58744974338177,0.37225291241917297
80,81,eax---lkh---sophisticated/1000-171.tsp,15.4725,8,2.7743,2.7915,1.0204,1.0266,866.0403,596.757,6.7639,6.3915,0.131049925328466,0.09356891372757199,1.22833457024343,0.267742781764762
81,82,eax---lkh---sophisticated/1000-172.tsp,20.7485,8,4.2027,3.627,1.4357,1.2884,54.564,23.939,3.9994,3.1755,0.182907693506312,0.16401867050043,0.653329899652624,0.36237361630885
82,83,eax---lkh---sophisticated/1000-173.tsp,19.9291,5,3.159,3.1195,1.1503,1.1377,201.0766,150.2015,5.3037,5.012,0.174471467002936,0.16166388431126302,0.639550303146154,0.34540254363852
83,84,eax---lkh---sophisticated/1000-174.tsp,22.079,5,3.1373,3.251,1.1434,1.179,1561.9432,1362.1555,7.3537,7.2168,0.198363244599516,0.19267848441392998,0.537686868784978,0.36926035747768704
84,85,eax---lkh---sophisticated/1000-175.tsp,19.5817,3,4.9725,3.4945,1.6039,1.2512,1522.7089,1986.751,7.3282,7.5943,0.17332082274118601,0.150032930079472,0.745088239825701,0.33935296995447606
85,86,eax---lkh---sophisticated/1000-176.tsp,20.3766,5,2.8296,2.867,1.0401,1.0533,145.8045,121.661,4.9823,4.8012,0.179482418532069,0.155321304077343,0.70672197390184,0.335125315065329
86,87,eax---lkh---sophisticated/1000-177.tsp,17.3042,4,2.8812,2.8735,1.0582,1.0555,1024.6612,887.156,6.9321,6.788,0.150337169540668,0.124107021889326,0.871721900577944,0.293223698248729
87,88,eax---lkh---sophisticated/1000-178.tsp,20.8977,7,4.3953,3.3845,1.4805,1.2192,32693.6306,36000.0,10.3949,10.4913,0.18636936500297002,0.17366333807101503,0.634312680598375,0.366547164545189
88,89,eax---lkh---sophisticated/1000-179.tsp,21.3196,10,3.7813,3.309,1.3301,1.1966,423.1331,412.7325,6.0477,6.0228,0.190083388291407,0.178030986788746,0.581329474071476,0.369828562779083
89,90,eax---lkh---sophisticated/1000-18.tsp,19.4965,8,3.9409,3.2765,1.3714,1.1868,18980.7036,36000.0,9.8512,10.4913,0.171501231980507,0.138420290909923,0.776757296548826,0.356733416447495
90,91,eax---lkh---sophisticated/1000-180.tsp,22.1861,7,3.5478,3.429,1.2663,1.2323,731.6231,742.8945,6.5953,6.6106,0.1991443318397,0.193897688594066,0.527165757743593,0.382578373797361
91,92,eax---lkh---sophisticated/1000-181.tsp,16.5813,8,3.0209,3.0255,1.1056,1.1071,254.4128,228.7705,5.539,5.4327,0.14371811513603,0.114149584320035,0.895901154667785,0.276851840824694
92,93,eax---lkh---sophisticated/1000-182.tsp,21.8453,8,5.6274,4.991,1.7276,1.6076,36000.0,36000.0,10.4913,10.4913,0.196017054974442,0.179485556265061,0.56099228855608,0.378663876573008
93,94,eax---lkh---sophisticated/1000-183.tsp,19.2625,6,4.1379,3.3465,1.4202,1.2079,105.5145,95.5875,4.6588,4.56,0.171628299928588,0.15383921596970798,0.741459967424525,0.36484300328404096
94,95,eax---lkh---sophisticated/1000-184.tsp,18.696,9,3.2081,3.072,1.1657,1.1223,608.6139,551.531,6.4112,6.3127,0.16562722345493,0.138295072547788,0.821118406505348,0.34141762556696403
95,96,eax---lkh---sophisticated/1000-185.tsp,21.5309,1,3.3943,3.4355,1.2221,1.2342,2.8859,2.5895,1.0598,0.9515,0.192509908380416,0.186339525362339,0.556966228721639,0.37642066972147803
96,97,eax---lkh---sophisticated/1000-186.tsp,21.9363,3,3.7566,3.8185,1.3235,1.3399,4192.2087,743.1545,8.341,6.6109,0.194196850408806,0.18068503625589202,0.526353468341172,0.38944017544419596
97,98,eax---lkh---sophisticated/1000-187.tsp,21.3466,4,3.6615,3.2015,1.2979,1.1636,21.1322,18.162,3.0508,2.8993,0.190001334001626,0.17566635283759202,0.601142875154974,0.362907795386642
98,99,eax---lkh---sophisticated/1000-188.tsp,21.3488,6,3.3211,3.2055,1.2003,1.1649,295.9151,198.1695,5.6901,5.2891,0.189406177633039,0.177069280469075,0.579700981912991,0.37685629316613395
99,100,eax---lkh---sophisticated/1000-189.tsp,21.2569,5,5.5406,4.6025,1.7121,1.5266,149.1148,101.8195,5.0047,4.6232,0.189081179766981,0.180917538812018,0.554655837579539,0.37894137658697497
100,101,eax---lkh---sophisticated/1000-19.tsp,21.607,5,5.0393,3.712,1.6173,1.3116,410.6576,288.4875,6.0178,5.6647,0.19224923487969398,0.176967878329906,0.605525687749581,0.36846647677286803
101,102,eax---lkh---sophisticated/1000-190.tsp,19.6063,7,2.9134,2.978,1.0693,1.0913,58.7551,44.259,4.0734,3.7901,0.17189806471910402,0.1511161423529,0.679991677086455,0.33837579673130297
102,103,eax---lkh---sophisticated/1000-191.tsp,19.8584,10,3.0099,3.008,1.1019,1.1013,4524.4247,917.9345,8.4172,6.8221,0.174520042619795,0.155641663179553,0.718692190749096,0.34212739230374195
103,104,eax---lkh---sophisticated/1000-192.tsp,19.1938,4,3.465,3.0975,1.2427,1.1306,815.0007,741.673,6.7032,6.6089,0.169121621563358,0.138575761036225,0.804398137122055,0.373356946033544
104,105,eax---lkh---sophisticated/1000-193.tsp,19.9483,1,2.7498,2.752,1.0115,1.0123,25527.1628,36000.0,10.1475,10.4913,0.17688655460862598,0.165065471576514,0.66709907721898,0.34809142760190104
105,106,eax---lkh---sophisticated/1000-194.tsp,21.0855,10,3.3083,3.425,1.1964,1.2311,11.2645,8.4915,2.4217,2.1391,0.187450116297197,0.17064367926177101,0.585890655532857,0.358690197635468
106,107,eax---lkh---sophisticated/1000-195.tsp,20.7532,9,3.3546,3.373,1.2103,1.2158,18866.7799,36000.0,9.8452,10.4913,0.185715706302645,0.158128527895469,0.765048425190114,0.411727972827489
107,108,eax---lkh---sophisticated/1000-196.tsp,19.4295,8,3.0218,3.0905,1.1059,1.1283,1189.5153,893.7735,7.0813,6.7955,0.17038443378537899,0.154399112493276,0.670970096874994,0.31765379726271104
108,109,eax---lkh---sophisticated/1000-197.tsp,21.2879,7,4.0587,3.483,1.4009,1.2479,94.4819,67.1715,4.5484,4.2072,0.18907846876921203,0.175417874394461,0.610297201746932,0.355115353056165
109,110,eax---lkh---sophisticated/1000-198.tsp,20.8053,9,3.6036,3.036,1.2819,1.1105,7.2793,4.7675,1.985,1.5618,0.185006136537493,0.16847404506897,0.632813167695792,0.341082691984342
110,111,eax---lkh---sophisticated/1000-199.tsp,20.8029,9,2.7818,2.8315,1.0231,1.0408,29121.9162,36000.0,10.2792,10.4913,0.185231207010947,0.16416764499978898,0.622917265173487,0.32804507541191696
111,112,eax---lkh---sophisticated/1000-2.tsp,20.6547,8,3.3405,3.309,1.2061,1.1966,18726.2983,36000.0,9.8377,10.4913,0.18604395797071,0.174736719422833,0.625310842865925,0.359830416208046
112,113,eax---lkh---sophisticated/1000-20.tsp,18.4159,10,2.9586,2.973,1.0847,1.0896,32635.2437,36000.0,10.3931,10.4913,0.16229152878161301,0.14201963879056,0.78513777125754,0.310084005235306
113,114,eax---lkh---sophisticated/1000-200.tsp,21.6103,9,3.2627,3.2345,1.1826,1.1739,822.626,870.5745,6.7125,6.7692,0.19392723174778598,0.186604663256827,0.556584626854793,0.362028774999825
114,115,eax---lkh---sophisticated/1000-201.tsp,23.2048,6,3.8113,3.812,1.338,1.3382,4.1076,2.5945,1.4128,0.9534,0.209742043593253,0.20701570767852398,0.474330025527951,0.402253887914769
115,116,eax---lkh---sophisticated/1000-202.tsp,20.0215,3,4.6777,3.515,1.5428,1.257,48.9787,28.3075,3.8914,3.3431,0.17657648386228902,0.149578494236966,0.772805415808803,0.361235421445993
116,117,eax---lkh---sophisticated/1000-203.tsp,21.2162,2,3.2897,3.306,1.1908,1.1957,32724.5351,36000.0,10.3959,10.4913,0.188746633537234,0.175045102422287,0.600790292291572,0.354701712672944
117,118,eax---lkh---sophisticated/1000-204.tsp,22.6709,4,5.6874,3.741,1.7383,1.3194,11920.6543,2188.65,9.386,7.691,0.20345114983226698,0.193796582271205,0.53283908216143,0.40019111569322896
118,119,eax---lkh---sophisticated/1000-205.tsp,19.5463,6,3.2042,2.8405,1.1645,1.044,3886.6371,304.262,8.2653,5.7179,0.17454331421904098,0.152266460126499,0.707019334174422,0.333565471296823
119,120,eax---lkh---sophisticated/1000-206.tsp,18.9208,10,3.301,3.422,1.1942,1.2302,36000.0,36000.0,10.4913,10.4913,0.166397743412377,0.136835198245937,0.813202061034457,0.325913299570712
120,121,eax---lkh---sophisticated/1000-207.tsp,21.9436,7,3.2919,3.2995,1.1915,1.1938,36000.0,36000.0,10.4913,10.4913,0.195257587385029,0.186992279086492,0.550163831895153,0.385038593285699
121,122,eax---lkh---sophisticated/1000-208.tsp,21.1501,10,3.4552,3.517,1.2399,1.2576,49.1309,34.8385,3.8945,3.5507,0.191178556290093,0.168614969970462,0.67991641325023,0.387025643513196
122,123,eax---lkh---sophisticated/1000-209.tsp,20.4648,10,3.0737,3.0705,1.1229,1.1218,706.1482,757.311,6.5598,6.6298,0.182163512248843,0.163077210454332,0.625782560472146,0.338798897863312
123,124,eax---lkh---sophisticated/1000-21.tsp,20.6503,7,3.6485,3.3685,1.2943,1.2145,367.3313,219.318,5.9063,5.3905,0.183127380942921,0.161562895315612,0.687976519198468,0.370894180431758
124,125,eax---lkh---sophisticated/1000-210.tsp,18.9913,9,2.9647,2.985,1.0868,1.0936,925.5195,986.6065,6.8304,6.8943,0.167268283728481,0.141490185045747,0.770140067123101,0.312678108345875
125,126,eax---lkh---sophisticated/1000-211.tsp,21.6108,6,3.1857,3.2655,1.1587,1.1834,155.2738,156.193,5.0452,5.0511,0.192892736912414,0.179428812429829,0.603610498143305,0.371054004580897
126,127,eax---lkh---sophisticated/1000-212.tsp,23.0446,2,4.7773,3.851,1.5639,1.3483,299.987,259.038,5.7037,5.557,0.207940802531081,0.20434398556657402,0.46903472346073,0.403843563470629
127,128,eax---lkh---sophisticated/1000-213.tsp,19.1521,2,2.7868,2.6815,1.0249,0.9864,36000.0,36000.0,10.4913,10.4913,0.16985164891445,0.15840698664854902,0.663246715845893,0.32582210949736296
128,129,eax---lkh---sophisticated/1000-214.tsp,20.043,2,3.273,3.2825,1.1857,1.1886,4133.157,599.672,8.3268,6.3964,0.17609055051727998,0.159551378794827,0.683197451503111,0.31803027773806697
129,130,eax---lkh---sophisticated/1000-215.tsp,19.345,1,2.9587,2.9605,1.0847,1.0854,340.1661,364.6855,5.8294,5.899,0.170498027528879,0.144736566566256,0.784447020939495,0.319082743326915
